,ORGANIZATION_NAME,UNIQUE_ADV_NAME,L0,L1,L2,L3,UNIQUE_BRAND_NAME,M_SEARCH_CLK,M_SEARCH_IMP,M_SEARCH_SPEND,M_OFF_DIS_TOTAL_SUM_CLK,M_OFF_DIS_TOTAL_SUM_IMP,M_OFF_DIS_TOTAL_SUM_SPEND,M_ON_DIS_TOTAL_SUM_CLK,M_ON_DIS_TOTAL_SUM_IMP,M_ON_DIS_TOTAL_SUM_SPEND,O_SALE,O_UNIT,O_SALE_STORE,O_UNIT_STORE,M_TOTAL_DISPLAY_SUM_CLK,M_TOTAL_DISPLAY_SUM_IMP,M_TOTAL_DISPLAY_SUM_SPEND,O_SALE_ONLINE,O_UNIT_ONLINE
8339,CENTURY SNACKS LLC,CENTURY SNACKS LLC 1,FOOD,SNACKS AND BEVERAGES,PROTEIN SNACKS,SNACK NUTS,Snak Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8340,,N/A,FOOD,PRODUCE,COOKING VEGTABLES,BROCCOLI L3,Dr. Praeger's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8341,,N/A,FOOD,PRODUCE,FLORAL,BULBS,FROM YOU FLOWERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8342,,N/A,FOOD,PRODUCE,PRODUCE L2,PRODUCE L3,Orii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8343,,N/A,FOOD,PRODUCE,APPLES PEARS CHERRIES,APPLES,JUICI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21512.010000000,4343.000000000,21462.780000000,4334.000000000,0.0,0.0,0.0,49.230000000,-17119.780000000
8344,,N/A,FOOD,SERVICE DELI,DEPT LEVEL SALES,GEC Returns & POS Errors,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111557.480000000,51530.330000000,111557.480000000,51530.330000000,0.0,0.0,0.0,0E-9,-60027.150000000
8345,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,MUSHROOM,Mother Earth Products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13647.440000000,1316.000000000,11.950000000,1.000000000,0.0,0.0,0.0,13635.490000000,1304.050000000
8346,,N/A,FOOD,PRODUCE,TOMATOES,TOMATO ORGANICS,SUNSET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94546.300000000,27103.000000000,92509.360000000,26464.000000000,0.0,0.0,0.0,2036.940000000,-65406.360000000
8347,,N/A,FOOD,PRODUCE,TOMATOES,DIPS GLAZES MIXES,Heinz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.280000000,2.000000000,4.280000000,2.000000000,0.0,0.0,0.0,0E-9,-2.280000000
8348,,N/A,FOOD,PRODUCE,STRAWBERRIES,CORE STRAWBERRIES,FIELDPACK UNBRANDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50180.710000000,16830.000000000,48891.300000000,16420.000000000,0.0,0.0,0.0,1289.410000000,-32061.300000000
8349,Wisconsin Shop LLC,Wisconsin Shop LLC,FOOD,PRODUCE,VAV MUSHROOMS DDV,MUSHROOM,Wisconsin's Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8350,,N/A,FOOD,PRODUCE,PACKAGED VEGETABLES,PKG SALADS,Cabo Fresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.340000000,63.000000000,389.340000000,63.000000000,0.0,0.0,0.0,0E-9,-326.340000000
8351,KCOSERA INC,KCOSERA INC,FOOD,PRODUCE,MELONS,WATERMELONS,EVERYDAZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8352,Seed Ventures LLC (SafeCastle),Seed Ventures LLC,FOOD,PRODUCE,VAV MUSHROOMS DDV,MUSHROOM,Future Essentials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8353,,N/A,FOOD,PRODUCE,COOKING VEGTABLES,ORGANIC COOKING VEG,FIELDPACK UNBRANDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181352.690000000,92503.000000000,165087.300000000,84136.000000000,0.0,0.0,0.0,16265.390000000,-72584.300000000
8354,ALTAFRESH LLC,ALTAFRESH LLC 1,FOOD,PRODUCE,APPLES PEARS CHERRIES,APPLES,SugarBee,42430.0,6791278.0,16798.65013246101,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8355,,N/A,FOOD,PRODUCE,TOMATOES,SALAD TOPPINGS,Sahale Snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.680000000,1.000000000,3.680000000,1.000000000,0.0,0.0,0.0,0E-9,-2.680000000
8356,,N/A,FOOD,PRODUCE,FLORAL,MISC FLORAL,Anagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10935.180000000,239.000000000,10935.180000000,239.000000000,0.0,0.0,0.0,0E-9,-10696.180000000
8357,"Harbor Creative Group, Inc","Harbor Creative Group, Inc",FOOD,PRODUCE,APPLES PEARS CHERRIES,APPLES,Marketside,17207.0,1520627.0,3376.880060926,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8358,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,VEGETARIAN,coming soon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8359,,N/A,FOOD,PRODUCE,MIXED BERRIES,SPECIALTY MIXED BERRIES,"Driscoll's, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86919.430000000,14546.000000000,86513.130000000,14474.000000000,0.0,0.0,0.0,406.300000000,-71967.130000000
8360,,N/A,FOOD,PRODUCE,MIXED BERRIES,SPECIALTY MIXED BERRIES,Sun Belle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195960.530000000,26176.000000000,195450.390000000,26093.000000000,0.0,0.0,0.0,510.140000000,-169274.390000000
8361,Pear Bureau Northwest,Pear Bureau Northwest 1,FOOD,PRODUCE,APPLES PEARS CHERRIES,PEARS,Fresh Produce,61939.0,5030895.0,18649.710266557,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8362,,N/A,FOOD,PRODUCE,FLORAL,MISC FLORAL,We R Memory Keepers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.000000000,7.000000000,-42.500000000,-6.000000000,0.0,0.0,0.0,106.500000000,49.500000000
8363,TAYLOR FARMS PACIFIC INC,TAYLOR FARMS PACIFIC INC,FOOD,PRODUCE,VAV MUSHROOMS DDV,VALUE ADDED VEGETABLES,Earthbound Farm,14170.0,1178927.0,3061.8899971070023,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8364,,N/A,FOOD,PRODUCE,COOKING VEGTABLES,ORGANIC COOKING VEG,PRODUCE UNBRANDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.680000000,106.000000000,135.680000000,106.000000000,0.0,0.0,0.0,0E-9,-29.680000000
8365,Rumhora Greens LLC,Rumhora Greens LLC,FOOD,PRODUCE,FLORAL,MISC FLORAL,Rumhora Greens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8366,,N/A,FOOD,PRODUCE,FLORAL,CONSUMER BUNCHES,Globalrose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8367,,N/A,FOOD,PRODUCE,APPLES PEARS CHERRIES,APPLES,Seneca Foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8368,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,VEGETARIAN,Veggie Patch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8369,PROCTER & GAMBLE,PROCTER & GAMBLE (Universal),FOOD,PRODUCE,APPLES PEARS CHERRIES,APPLES,Downy,0.0,0.0,0.0,9.251440544787847,4705.367731796752,41.07700684400001,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,9.251440544787847,4705.367731796752,41.07700684400001,0E-9,0E-9
8370,,N/A,FOOD,PRODUCE,PACKAGED VEGETABLES,PKG SALADS,Hidden Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8371,,N/A,FOOD,PRODUCE,TOMATOES,ETHNIC COOKING,TSINGTAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8372,Heirloom Roses 3P,Heirloom Roses 3P,FOOD,PRODUCE,FLORAL,MISC FLORAL,Heirloom Roses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8373,,N/A,FOOD,PRODUCE,CUT FRUIT,CUT FRUIT PACKAGED,Genuine Coconut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109827.690000000,884051.000000000,2048190.690000000,856791.000000000,0.0,0.0,0.0,61637.000000000,-1164139.690000000
8374,,N/A,FOOD,PRODUCE,CITRUS,SPECIALTY CITRUS,ReaLemon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960000000,1.000000000,0.960000000,1.000000000,0.0,0.0,0.0,0E-9,0.040000000
8375,,N/A,FOOD,PRODUCE,FLORAL,CONSUMER BUNCHES,Mainstays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8376,,N/A,FOOD,PRODUCE,COOKING VEGTABLES,BROCCOLI L3,Koch Foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8377,liu zhou hu wo dian zi shang wu you xian gong si,liu zhou hu wo dian zi shang wu you xian gong si,FOOD,PRODUCE,VAV MUSHROOMS DDV,VEGETARIAN,Wa Sai Luo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
8378,,N/A,FOOD,PRODUCE,VAV MUSHROOMS DDV,DIPS PV,Taste of the South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365807.750000000,343377.000000000,1232750.370000000,309939.000000000,0.0,0.0,0.0,133057.380000000,-889373.370000000
8379,,N/A,FOOD,PRODUCE,COOKING VEGTABLES,MIXED VEGETABLES,Nature's Greens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0E-9,0E-9,0E-9,0E-9,0.0,0.0,0.0,0E-9,0E-9
